,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DataElements_96_Value,16.0,5.0,6750879.0,6750879.0,6750324.0,6750878.0,6750324.0,6750828.0,6750324.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_97_Key,cma.u8_Device11BlockID,cma.i32_CVPrsSensor2_cbar,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2,cma.u32_ErrorlogEntry2
DataElements_97_Value,16.0,6.0,6750880.0,6750880.0,6750325.0,6750881.0,6750325.0,6750829.0,6750329.0,33816635.0,33817174.0,33817180.0,33817192.0,33817197.0,33817156.0
DataElements_98_Key,cma.u8_Device12BlockID,cma.i32_PrsSensor3_cbar,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3,cma.u32_ErrorlogEntry3
DataElements_98_Value,16.0,9.0,6750885.0,6750885.0,6750330.0,6750882.0,6750330.0,6750835.0,6750330.0,33751135.0,33751668.0,33751668.0,33751669.0,33817197.0,33817156.0
DataElements_99_Key,cma.u8_Device13BlockID,cma.i32_PosSensor_um,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4,cma.u32_ErrorlogEntry4
DataElements_99_Value,16.0,-4727.0,6750886.0,6750886.0,6750331.0,6750887.0,6750331.0,6750836.0,6750337.0,33816671.0,33817204.0,33817204.0,33817205.0,33751668.0,33817156.0
DataElements_100_Key,cma.u8_Device14BlockID,cma.i32_VoiceCoil,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5,cma.u32_ErrorlogEntry5
DataElements_100_Value,255.0,891.0,6750893.0,6750893.0,6750338.0,6750888.0,6750338.0,33817209.0,6750338.0,33030265.0,33030798.0,33030798.0,33030799.0,33817204.0,35062383.0
DataElements_101_Key,cma.u8_Device15BlockID,cma.u16_V32Sensor_cV,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6,cma.u32_ErrorlogEntry6
DataElements_101_Value,255.0,3211.0,6750894.0,6750894.0,6750339.0,6750895.0,6750339.0,6750844.0,33816711.0,39.0,572.0,571.0,570.0,33030798.0,33751668.0
DataElements_102_Key,cma.u8_ErrorlogPosition,cma.u16_V3_3Sensor_cV,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7,cma.u32_ErrorlogEntry7
DataElements_102_Value,19.0,3319.0,6750820.0,6750820.0,6750265.0,6750896.0,6750265.0,6750845.0,6750265.0,39.0,572.0,571.0,570.0,569.0,33030798.0
DataElements_103_Key,cma.u32_ErrorlogEntry1,cma.i16_SysTempSensor_C,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8,cma.u32_ErrorlogEntry8
DataElements_103_Value,13762599.0,49.0,6750821.0,33817193.0,6750272.0,6750827.0,6750272.0,6750776.0,6750272.0,39.0,572.0,571.0,570.0,569.0,33751701.0
DataElements_104_Key,cma.u32_ErrorlogEntry2,cma.i16_OilTempSensor_C,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9,cma.u32_ErrorlogEntry9
DataElements_104_Value,6946856.0,39.0,6750828.0,6750828.0,6750273.0,6750828.0,6750273.0,6750777.0,6750273.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_105_Key,cma.u32_ErrorlogEntry3,cma.i32_PrsSensor1and2_cbar,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10,cma.u32_ErrorlogEntry10
DataElements_105_Value,14549033.0,1769498.0,6750829.0,6750829.0,33816646.0,6750835.0,6750280.0,6750784.0,6750280.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_106_Key,cma.u32_ErrorlogEntry4,cma.i32_PrsSensor3andPosSensor,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11,cma.u32_ErrorlogEntry11
DataElements_106_Value,14352426.0,-309657582.0,6750836.0,6750836.0,6750281.0,6750836.0,6750281.0,6750785.0,6750281.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_107_Key,cma.u32_ErrorlogEntry5,cma.i32_Stimulus1,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12,cma.u32_ErrorlogEntry12
DataElements_107_Value,14352427.0,0.0,6750837.0,6750837.0,6750282.0,33817209.0,6750285.0,6750789.0,6750285.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_108_Key,cma.u32_ErrorlogEntry6,cma.i32_Stimulus2,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13,cma.u32_ErrorlogEntry13
DataElements_108_Value,14352428.0,0.0,6750841.0,6750841.0,6750286.0,6750841.0,6750286.0,6750790.0,6750286.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_109_Key,cma.u32_ErrorlogEntry7,cma.i32_Debug1,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14,cma.u32_ErrorlogEntry14
DataElements_109_Value,14352429.0,4.0,6750842.0,6750842.0,6750287.0,6750842.0,6750294.0,6750798.0,6750294.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_110_Key,cma.u32_ErrorlogEntry8,cma.i32_Debug2,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15,cma.u32_ErrorlogEntry15
DataElements_110_Value,14352430.0,0.0,6750850.0,6750850.0,6750295.0,6750851.0,6750295.0,6750799.0,6750295.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_111_Key,cma.u32_ErrorlogEntry9,cma.u16_TrainingStatus,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16,cma.u32_ErrorlogEntry16
DataElements_111_Value,14352431.0,0.0,6750851.0,6750851.0,6750296.0,6750852.0,33816680.0,6750818.0,6750314.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_112_Key,cma.u32_ErrorlogEntry10,cma.u16_AirbleedingStatus,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17,cma.u32_ErrorlogEntry17
DataElements_112_Value,14483504.0,0.0,6750870.0,6750870.0,6750315.0,33817225.0,6750315.0,6750819.0,6750315.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_113_Key,cma.u32_ErrorlogEntry11,cma.u16_RuntimeTask1_us,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18,cma.u32_ErrorlogEntry18
DataElements_113_Value,14483505.0,185.0,6750871.0,6750871.0,6750316.0,6750872.0,6750316.0,33817192.0,6750319.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_114_Key,cma.u32_ErrorlogEntry12,cma.u16_RuntimeTask2_us,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19,cma.u32_ErrorlogEntry19
DataElements_114_Value,14483506.0,492.0,6750875.0,6750875.0,6750320.0,6750873.0,6750320.0,6750824.0,6750320.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_115_Key,cma.u32_ErrorlogEntry13,cma.u16_RuntimeTask3_us,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20,cma.u32_ErrorlogEntry20
DataElements_115_Value,14483508.0,41.0,6750876.0,6750876.0,6750321.0,6750877.0,6750321.0,6750825.0,6750323.0,39.0,572.0,571.0,570.0,569.0,568.0
DataElements_116_Key,cma.u32_ErrorlogEntry14,cma.u16_RuntimeTask4_us,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle,cma.u16_PowerCycle
DataElements_116_Value,14483509.0,25.0,758.0,758.0,203.0,760.0,203.0,709.0,203.0,165.0,697.0,697.0,698.0,697.0,697.0
DataElements_117_Key,cma.u32_ErrorlogEntry15,cma.u16_RawOilTemp,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC,cma.u32_SysConfigDataCRC
DataElements_117_Value,14483510.0,6765.0,3059323210.0,3059323210.0,3059323210.0,3059323210.0,3059323210.0,3059323210.0,3059323210.0,2939793192.0,2939793192.0,2939793192.0,2939793192.0,2939793192.0,2939793192.0
DataElements_118_Key,cma.u32_ErrorlogEntry16,cma.u16_RawPCBTemp,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC,cma.u32_CalDataCRC
DataElements_118_Value,14549053.0,6809.0,3325786667.0,1975203000.0,3028117791.0,3914122723.0,2217755846.0,1540214851.0,608011955.0,356301268.0,72180841.0,2961324691.0,3010983885.0,8157225.0,3894246603.0
DataElements_119_Key,cma.u32_ErrorlogEntry17,cma.u16_RawLVDTAPos,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC,cma.u32_IL32bitCRC
DataElements_119_Value,14549054.0,12142.0,3000785637.0,1078895384.0,2031322618.0,2454061686.0,3093916178.0,343442380.0,3908694062.0,3760144786.0,1825742966.0,3375722141.0,2555549331.0,2160747960.0,1902037290.0
DataElements_120_Key,cma.u32_ErrorlogEntry18,cma.u16_RawLVDTANeg,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC,cma.u32_IL16bitCRC
DataElements_120_Value,14483552.0,8665.0,2103156675.0,1625579216.0,1224551754.0,1016225344.0,626604526.0,3369148755.0,170170522.0,641262812.0,3959893300.0,535478697.0,209118377.0,3468028951.0,3972110755.0
DataElements_121_Key,cma.u32_ErrorlogEntry19,cma.u16_RawLVDTBPos,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone,cma.u32_TrainingDone
DataElements_121_Value,14483552.0,18298.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0
DataElements_122_Key,cma.u32_ErrorlogEntry20,cma.u16_RawLVDTBNeg,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone,cma.u32_AirbleedingDone
DataElements_122_Value,6946855.0,2561.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0,1514493267.0
DataElements_123_Key,cma.i32_Debug1,cma.s32_LS_Margin_CV,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone,cma.u32_BlockBoundaryDone
DataElements_123_Value,552.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2780474028.0,2780474028.0,2780474028.0,2780474028.0,2780474028.0,2780474028.0
DataElements_124_Key,cma.i32_Debug2,cma.s32_Pres_Max_CV,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped,cma.u32_CoilsSwapped
DataElements_124_Value,0.0,20700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_125_Key,cma.u16_V32Sensor_cV,cma.s32_Pres_Min_CV,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone,cma.u32_Coil1PolarityReversalDone
DataElements_125_Value,3209.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_126_Key,cma.u16_VsenseSensor_cV,cma.u16_Oil_Type,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone,cma.u32_Coil2PolarityReversalDone
DataElements_126_Value,12333.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_127_Key,cma.i16_SysTempSensor_C,cma.s32_Rate_Pres_Pos,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar,cma.i32_PrsSensor1_cbar
DataElements_127_Value,40.0,15000.0,-19.0,-71.0,822.0,2.0,-20.0,1178.0,97.0,41.0,-43.0,233.0,380.0,-3.0,26.0
DataElements_128_Key,cma.u16_SupplyCurrentSensor_mA,cma.s32_Rate_Pres_Neg,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar,cma.i32_PrsSensor2_cbar
DataElements_128_Value,635.0,-1.0,26.0,-78.0,102.0,27.0,76.0,210.0,105.0,21.0,-4.0,236.0,414.0,57.0,-14.0
DataElements_129_Key,cma.u16_RuntimeTask1_us,cma.s16_Pres_TG_BW,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um,cma.i32_PosSensor1_um
DataElements_129_Value,9.0,5000.0,-30.0,-20.0,-43.0,-248.0,14.0,-11.0,5.0,-121.0,-69.0,-128.0,-188.0,-207.0,-166.0
DataElements_130_Key,cma.u16_RuntimeTask2_us,cma.s32_LS_Volume,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um,cma.i32_PosSensor2_um
DataElements_130_Value,73.0,48.0,-198.0,-34.0,17.0,-82.0,64.0,122.0,41.0,-112.0,-165.0,-107.0,-121.0,-75.0,-5454.0
DataElements_131_Key,cma.u16_RuntimeTask3_us,cma.s16_Pos_FR_Offset_um,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM,cma.i32_VC1_PWM
DataElements_131_Value,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-750.0
DataElements_132_Key,cma.u16_RuntimeTask4_us,cma.s16_Pos_FR_Amplitude_um,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM,cma.i32_VC2_PWM
DataElements_132_Value,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-750.0
DataElements_133_Key,cma.u32_ReplacementCommand,cma.s16_PWM_Offset,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV,cma.u16_V32Sensor_cV
DataElements_133_Value,0.0,433.0,3217.0,3217.0,3230.0,3222.0,3192.0,3213.0,3213.0,3237.0,3270.0,3228.0,3229.0,3245.0,3207.0
DataElements_134_Key,cma.u32_BlockPendingVector,cma.s16_Pos_0PWMStop_um,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV,cma.u16_V3_3Sensor_cV
DataElements_134_Value,0.0,-4779.0,3329.0,3333.0,3329.0,3320.0,3312.0,3321.0,3323.0,3311.0,3336.0,3331.0,3313.0,3306.0,3302.0
DataElements_135_Key,cma.u32_ValvePendingVector,cma.s16_Pos_FullPWMStop_um,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C,cma.i16_SysTempSensor_C
DataElements_135_Value,0.0,1366.0,49.0,49.0,53.0,48.0,47.0,48.0,47.0,41.0,42.0,43.0,42.0,42.0,42.0
DataElements_136_Key,cma.u8_ReplacementCommandIndex,cma.s16_Pos_Kd_gain,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C,cma.i16_OilTempSensor_C
DataElements_136_Value,3.0,40.0,40.0,42.0,40.0,40.0,38.0,38.0,37.0,33.0,34.0,34.0,34.0,35.0,34.0
